Epoch,Loss_D,Loss_G,PSNR,SSIM
1,0.939669294,0.012772674,22.59648013,0.645790177
2,1.004872377,0.008549873,23.01642146,0.657812271
3,1.003901171,0.007979561,23.1940653,0.664260948
4,0.998083701,0.00837616,23.24775449,0.671708074
5,1,0.008200931,23.34861599,0.673129861
6,1,0.008024063,23.3170896,0.670820753
7,1,0.007935743,23.38090801,0.680101681
8,1,0.00797231,23.22555901,0.680867954
9,1,0.007882214,23.50450799,0.683207475
10,1,0.007815413,23.39338665,0.686020584
11,1,0.007773645,23.55449293,0.686049085
12,1,0.007710205,23.30533937,0.684325242
13,1,0.007680941,23.59762668,0.685520276
14,1,0.007643695,23.64986686,0.689303803
15,1,0.007508783,23.56364335,0.688036492
16,1,0.007506567,23.41795694,0.688177362
17,1,0.007535246,23.70762725,0.691101113
18,1,0.007467789,23.66389808,0.691749877
19,1,0.007484395,23.61592974,0.689093618
20,1,0.007406458,23.57622606,0.689828411
21,1,0.007442216,23.66566899,0.692290825
22,1,0.00745308,23.72454344,0.69029717
23,1,0.007344405,23.67808384,0.69017803
24,1,0.00737801,23.66614309,0.68963913
25,1,0.007353044,23.74970301,0.69452039
26,1,0.007314481,23.77269129,0.695898074
27,1,0.007324531,23.69437516,0.691331388
28,1,0.00726529,23.78921962,0.694757277
29,1,0.007296164,23.65801246,0.691389261
30,1,0.007322707,23.76169217,0.692855905
